doc_id,title,dispute_id,title
205,Decision on the Applicant's Application for Provisional Measures to Exclude Consideration of the Merits in Part I,1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15"
218,Award,1148,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany, ICSID Case No. ARB/09/6 (formerlyÂ Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AGÂ & Co. KGÂ v. The Federal Republic of Germany)"
220,Award of the Tribunal (Spanish),2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22"
210,Award,2768,"Vigotop Limited v. Hungary, ICSID Case No. ARB/11/22"
247,Decision of the Paris Court of Appeal (French),1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
256,Memorandum Opinion and Order of the US District Court for the District of Columbia,1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
225,Decision of the European Court of Human Rights as to the Admissibility of the Application,1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
226,Interim Award on Jurisdiction and Admissibility,1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
248,Decision of the Tribunal de Grande Instance d'Evry (French),1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
239,Respondent Motion to Dismiss Petition to Confirm Award filed with U.S. District Court of District of Columbia,1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
228,Final Award (English),1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
251,Decision of the Paris Court of Appeal re Referral of the Interpretation of the Energy Charter Treaty to the ECJ (French),1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
222,Decision on the Respondentâ€™s Preliminary Objection under ICSID Arbitration Rule 41(5) (Spanish),2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22"
222,Decision on the Respondentâ€™s Preliminary Objection under ICSID Arbitration Rule 41(5) (Spanish),2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22"
252,Decision of the Paris Court of Appeal re Seized Funds of the Russian Space Agency Roscosmos (French),1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
223,Decision on Annulment (Spanish),2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22"
244,Decision of the Paris Court of First Instance on Sovereign Immunity of Russia (French),1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
240,Respondent Motion to Deny Confirmation of Award filed with U.S. District Court of District of Columbia,1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228"
291,Decision of the Tribunal on the Place of Arbitration,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
268,Decision on the Achmea issue,1654,"Vattenfall AB and others v. Federal Republic of Germany, ICSID Case No. ARB/12/12"
311,Memorial on Compliance with the Award on Jurisdiction,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
292,Decision of the Tribunal on Petitions for Intervention and Participation as Amici Curiae,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
266,"Decision pursuant to ICSID Arbitration Rule 41(5) (not public, see IAReporter story)",1654,"Vattenfall AB and others v. Federal Republic of Germany, ICSID Case No. ARB/12/12"
310,Notice of Motion in Respect of Compliance with the Award on Jurisdiction,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
273,Procedural Order No. 1,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
294,Notice of Motion in Respect of Jurisdictional Objections to the Investorâ€™s Amended Statement of Claim,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
263,Decision on Jurisdiction,1146,"Vannessa Ventures Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)04/6"
274,Procedural Order No. 2,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
290,Decision of the Tribunal on the Filing of a Statement of Defence,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
306,Award on Jurisdiction,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
295,Canadaâ€™s Memorial on Preliminary Jurisdictional Objections,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
264,Award (English),1146,"Vannessa Ventures Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)04/6"
318,Tribunalâ€™s Procedural Directions and Order,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
289,Decision of the Tribunal on Petitions for Intervention and Participation as Amici Curiae,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
366,Procedural Order No. 3,3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24"
360,"Decision on the Proposal to Disqualify Prof. Brigitte Stern and Prof. Guido Santiago Tawil, Arbitrators",1141,"Universal Compression International Holdings, S.L.U. v. The Bolivarian Republic of Venezuela, ICSID Case No. Arb/10/9"
363,Procedural Order No. 1,3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24"
362,Order of the Tribunal Taking Note of the Discontinuance of the Proceeding,1141,"Universal Compression International Holdings, S.L.U. v. The Bolivarian Republic of Venezuela, ICSID Case No. Arb/10/9"
357,Award on the Merits,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
347,Response by the Canadian Union of Postal Workers and the Council of Canadians to the Investorâ€™s Objection to their Applications,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
369,Decision on the Application for Leave to Intervene as a Non-Disputing Party Submitted by the European Commission,3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24"
336,Tribunal Decision Relating to Canadaâ€™s Claim of Cabinet Privilege,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
359,Decision on Provisional Measures,2097,"Valle Verde Sociedad Financiera S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/18"
367,Decision on Respondent's Application for Provisional Measures,3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24"
328,Tribunal Decisions Relating to Document Production and Interrogatories,1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1"
364,Procedural Order No. 2,3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24"
361,Order of the Tribunal Suspending the Proceeding,1141,"Universal Compression International Holdings, S.L.U. v. The Bolivarian Republic of Venezuela, ICSID Case No. Arb/10/9"
365,Procedural Order No. 1 (Amended Version),3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24"
499,Dissent to Procedural Order No. 1 (Spanish),1477,"TelefÃ_nica S.A. v. United Mexican States,Â ICSID Case No. ARB(AF)/12/4"
477,Guatemala's Counter-Memorial on Claimant's Application for the Partial Annulment of Award (Spanish),1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
478,Claimant's Counter-Memorial on Annulment of the Award (English),1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
491,Decision on Claimant's Request for Provisional Measures,1631,"Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan, ICSID Case No. ARB/12/1"
436,Decision on Annulment (English),1105,"Total S.A. v. The Argentine Republic, ICSID Case No. ARB/04/01"
498,Procedural Order No. 1 (Spanish),1477,"TelefÃ_nica S.A. v. United Mexican States,Â ICSID Case No. ARB(AF)/12/4"
422,Order No. 1 Claimantâ€™s Request for Provisional Measures,1099,"Tokios TokelÃ©s v. Ukraine, ICSID Case No. ARB/02/18"
441,Procedural Order No. 1 (Spanish),1087,"TÃ©cnicas Medioambientales Tecmed, S.A. v. The United Mexican States, ICSID Case No. ARB (AF)/00/2"
442,Procedural Order No. 2 (Spanish),1087,"TÃ©cnicas Medioambientales Tecmed, S.A. v. The United Mexican States, ICSID Case No. ARB (AF)/00/2"
450,Procedural Order No 1,1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
415,Procedural Order No. 3,2242,"Transglobal Green Energy, LLC and Transglobal Green Energy de Panama, S.A. v. The Republic of Panama, ICSID Case No. ARB/13/28"
505,Procedural Order No. 2 (English),1057,"Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Republic, ICSID Case No. ARB/03/19 (formerlyÂ Aguas Argentinas, S.A.,Â Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Re"
380,Decision on Annulment (Spanish),1126,"SeÃ±orÂ Tza Yap Shum v. The Republic of Peru, ICSID Case No. ARB/07/6"
425,Order No. 3,1099,"Tokios TokelÃ©s v. Ukraine, ICSID Case No. ARB/02/18"
487,Petition to Confirm Arbitral Award before the US District Court for the District of Columbia,1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
445,Award (English),1087,"TÃ©cnicas Medioambientales Tecmed, S.A. v. The United Mexican States, ICSID Case No. ARB (AF)/00/2"
401,Award (English),1118,"TSA Spectrum de Argentina S.A. v. Argentine Republic, ICSID Case No. ARB/05/5"
472,Procedural Order No. 1 (English),1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
490,Memorandum Opinion and Order of the US District Court for the District of Columbia,1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
418,Award,1093,"Telenor Mobile Communications A.S. v. The Republic of Hungary, ICSID Case No. ARB/04/15"
514,"Decision of the Svea Court of Appeal, 2002 (Published at 2003:2 Stockholm Arbitration Report)",1066,"Swembalt AB, Sweden v. The Republic of Latvia, UNCITRAL"
428,Decision on Liability,1105,"Total S.A. v. The Argentine Republic, ICSID Case No. ARB/04/01"
376,"Summary of Award (from International Arbitration Case Law, IACL)",1126,"SeÃ±orÂ Tza Yap Shum v. The Republic of Peru, ICSID Case No. ARB/07/6"
493,Decision (District Court of the Hague),1091,"Telekom Malaysia Berhad v. The Republic of Ghana, Case No. HA/RK 2004, 667"
507,Decision on the Proposal for the Disqualification of a Member of the Arbitral Tribunal,1057,"Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Republic, ICSID Case No. ARB/03/19 (formerlyÂ Aguas Argentinas, S.A.,Â Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Re"
494,Decision (District Court of the Hague),1200,"Telekom Malaysia Berhad v. The Republic of Ghana, Case No. HA/RK 2004, 788"
404,The Tribunal's Decision on the Respondent's Objection Under Rule 41(5) of the ICSID Arbitration Rules,1113,"Trans-Global Petroleum, Inc. v.Â The Hashemite Kingdom of Jordan, ICSID Case No. ARB/07/25"
404,The Tribunal's Decision on the Respondent's Objection Under Rule 41(5) of the ICSID Arbitration Rules,1113,"Trans-Global Petroleum, Inc. v.Â The Hashemite Kingdom of Jordan, ICSID Case No. ARB/07/25"
475,Guatemala's Request for the Continuation of the Stay of Enforcement of the Award (English),1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
452,Procedural Order No. 2,1629,"TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
511,Decision on Annulment (English),1057,"Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Republic, ICSID Case No. ARB/03/19 (formerlyÂ Aguas Argentinas, S.A.,Â Suez, Sociedad General de Aguas de Barcelona, S.A.and Vivendi Universal, S.A. v. Argentine Re"
496,Award (English),2084,"Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/11/26"
431,"Award of the Tribunal, Dissenting Opinion of Mr. Henri Alvarez and Dissenting Opinion of Mr. Luis Herrera Marcano (English)",1105,"Total S.A. v. The Argentine Republic, ICSID Case No. ARB/04/01"
379,Award (Spanish),1126,"SeÃ±orÂ Tza Yap Shum v. The Republic of Peru, ICSID Case No. ARB/07/6"
410,Decision on Respondentâ€™s Request for Shifting the Costs of the Arbitration,2242,"Transglobal Green Energy, LLC and Transglobal Green Energy de Panama, S.A. v. The Republic of Panama, ICSID Case No. ARB/13/28"
414,Procedural Order No. 2,2242,"Transglobal Green Energy, LLC and Transglobal Green Energy de Panama, S.A. v. The Republic of Panama, ICSID Case No. ARB/13/28"
382,Final Award (English),1132,"Ulysseas, Inc. v. The Republic of Ecuador, UNCITRAL"
389,Procedural Order No. 6 (Stipulated Termination Order),1903,"U.S. Steel Global Holdings I B.V. v. The Slovak Republic, UNCITRAL, PCA Case No. 2013-6"
