id,title,sector,host_state,treaty,arbitration_rules,outcome
2101,"Veolia PropretÃ© v. Arab Republic of Egypt, ICSID Case No. ARB/12/15",,EGY,Egypt-France BIT,ICSID,
1148,"Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AG v. Federal Republic of Germany, ICSID Case No. ARB/09/6 (formerlyÂ Vattenfall AB, Vattenfall Europe AG, Vattenfall Europe Generation AGÂ & Co. KGÂ v. The Federal Republic of Germany)",,DEU,Energy Charter Treaty (ECT),ICSID,
2099,"Venoklim Holding B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/22",,VEN,Netherlands-Venezuela BIT,ICSID,
2160,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet v. Republic of Croatia, ICSID Case No. ARB/13/12",,HRV,Belgium-Luxembourg-Croatia BIT,ICSID,
1151,"Veteran Petroleum Limited (Cyprus) v. The Russian Federation,Â UNCITRAL, PCA Case No. AA 228",,RUS,Energy Charter Treaty (ECT),UNCITRAL,
1146,"Vannessa Ventures Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)04/6",,VEN,Canada-Venezuela BIT,ICSID Additional Facility,
1654,"Vattenfall AB and others v. Federal Republic of Germany, ICSID Case No. ARB/12/12",,DEU,Energy Charter Treaty (ECT),ICSID,
1138,"United Parcel Service of America Inc. v. Government of Canada, ICSID Case No.Â UNCT/02/1",Transportation and storage,CAN,NAFTA,UNCITRAL,In favour of State
2097,"Valle Verde Sociedad Financiera S.L. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/18",,VEN,Spain-Venezuela BIT,ICSID,
1141,"Universal Compression International Holdings, S.L.U. v. The Bolivarian Republic of Venezuela, ICSID Case No. Arb/10/9",,VEN,Spain-Venezuela BIT,ICSID,
3147,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,Â ICSID Case No. ARB/14/24","Water supply; sewerage, waste management and remediation activities",EST,Netherlands-Estonia BIT,ICSID,
1136,"Reinhard Unglaube v. Republic of Costa Rica, ICSID Case No. ARB/09/20",,CRI,Costa Rica-Germany BIT,ICSID,
1134,"Marion Unglaube v. Republic of Costa Rica, ICSID Case No. ARB/08/1",,CRI,Costa Rica-Germany BIT,ICSID,
2456,"UniÃ_n Fenosa Gas, S.A. v. Arab Republic of Egypt,Â ICSID Case No. ARB/14/4","Mining and quarrying, including hydrocarbons (oil and gas)",EGY,Egypt-Spain BIT,ICSID,In favour of Investor
